passage,condition,knowledge_cue,tokenized_passage,start,end,first_mention,recent_mention,setup_indices,exit_indices,manipulation_indices,return_indices,query_indices
"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",False Belief,Implicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', ',', 'Ġthen', 'Ġtakes', 'Ġout', 'Ġthe', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġand', 'Ġwhile', 'Ġshe', 'Ġis', 'Ġaway', ',', 'ĠRobert', 'Ġmoves', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe', 'Ġcupboard', 'Ġto', 'Ġthe', 'Ġdrawer', '.', 'ĠLisa', 'Ġcomes', 'Ġback', 'Ġand', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe']",cupboard,drawer,Start,End,"(0, 30)","(31, 36)","(37, 54)","(55, 68)","(69, 77)"
"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",True Belief,Explicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', ',', 'Ġthen', 'Ġtakes', 'Ġout', 'Ġthe', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġthen', 'Ġcomes', 'Ġback', '.', 'ĠShe', 'Ġwatches', 'ĠRobert', 'Ġmove', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe', 'Ġcupboard', 'Ġto', 'Ġthe', 'Ġdrawer', '.', 'ĠLisa', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġthinks', 'Ġthe', 'Ġgr', 'ater', 'Ġis', 'Ġin', 'Ġthe']",cupboard,drawer,Start,End,"(0, 30)","(31, 36)","(41, 65)","(37, 40)","(66, 73)"
"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",True Belief,Implicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', ',', 'Ġthen', 'Ġtakes', 'Ġout', 'Ġthe', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġthen', 'Ġcomes', 'Ġback', '.', 'ĠShe', 'Ġwatches', 'ĠRobert', 'Ġmove', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe', 'Ġcupboard', 'Ġto', 'Ġthe', 'Ġdrawer', '.', 'ĠLisa', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe']",cupboard,drawer,Start,End,"(0, 30)","(31, 36)","(41, 65)","(37, 40)","(66, 74)"
"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",False Belief,Explicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', ',', 'Ġthen', 'Ġtakes', 'Ġout', 'Ġthe', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġand', 'Ġwhile', 'Ġshe', 'Ġis', 'Ġaway', ',', 'ĠRobert', 'Ġmoves', 'Ġthe', 'Ġgr', 'ater', 'Ġto', 'Ġthe', 'Ġdrawer', 'Ġfrom', 'Ġthe', 'Ġcupboard', '.', 'ĠLisa', 'Ġcomes', 'Ġback', 'Ġand', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġthinks', 'Ġthe', 'Ġgr', 'ater', 'Ġis', 'Ġin', 'Ġthe']",cupboard,drawer,Start,Start,"(0, 30)","(31, 36)","(37, 54)","(55, 68)","(69, 76)"
"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",False Belief,Implicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', ',', 'Ġthen', 'Ġtakes', 'Ġout', 'Ġthe', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġand', 'Ġwhile', 'Ġshe', 'Ġis', 'Ġaway', ',', 'ĠRobert', 'Ġmoves', 'Ġthe', 'Ġgr', 'ater', 'Ġto', 'Ġthe', 'Ġdrawer', 'Ġfrom', 'Ġthe', 'Ġcupboard', '.', 'ĠLisa', 'Ġcomes', 'Ġback', 'Ġand', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe']",cupboard,drawer,Start,Start,"(0, 30)","(31, 36)","(37, 54)","(55, 68)","(69, 77)"
"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",True Belief,Explicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', ',', 'Ġthen', 'Ġtakes', 'Ġout', 'Ġthe', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġthen', 'Ġcomes', 'Ġback', '.', 'ĠShe', 'Ġwatches', 'ĠRobert', 'Ġmove', 'Ġthe', 'Ġgr', 'ater', 'Ġto', 'Ġthe', 'Ġdrawer', 'Ġfrom', 'Ġthe', 'Ġcupboard', '.', 'ĠLisa', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġthinks', 'Ġthe', 'Ġgr', 'ater', 'Ġis', 'Ġin', 'Ġthe']",cupboard,drawer,Start,Start,"(0, 30)","(31, 36)","(41, 65)","(37, 40)","(66, 73)"
"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",True Belief,Implicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', ',', 'Ġthen', 'Ġtakes', 'Ġout', 'Ġthe', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġthen', 'Ġcomes', 'Ġback', '.', 'ĠShe', 'Ġwatches', 'ĠRobert', 'Ġmove', 'Ġthe', 'Ġgr', 'ater', 'Ġto', 'Ġthe', 'Ġdrawer', 'Ġfrom', 'Ġthe', 'Ġcupboard', '.', 'ĠLisa', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe']",cupboard,drawer,Start,Start,"(0, 30)","(31, 36)","(41, 65)","(37, 40)","(66, 74)"
"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",False Belief,Explicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġtakes', 'Ġout', 'Ġa', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', ',', 'Ġthen', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġand', 'Ġwhile', 'Ġshe', 'Ġis', 'Ġaway', ',', 'ĠRobert', 'Ġmoves', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe', 'Ġcupboard', 'Ġto', 'Ġthe', 'Ġdrawer', '.', 'ĠLisa', 'Ġcomes', 'Ġback', 'Ġand', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġthinks', 'Ġthe', 'Ġgr', 'ater', 'Ġis', 'Ġin', 'Ġthe']",cupboard,drawer,End,End,"(0, 30)","(31, 36)","(37, 54)","(55, 68)","(69, 76)"
"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",False Belief,Implicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġtakes', 'Ġout', 'Ġa', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', ',', 'Ġthen', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġand', 'Ġwhile', 'Ġshe', 'Ġis', 'Ġaway', ',', 'ĠRobert', 'Ġmoves', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe', 'Ġcupboard', 'Ġto', 'Ġthe', 'Ġdrawer', '.', 'ĠLisa', 'Ġcomes', 'Ġback', 'Ġand', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe']",cupboard,drawer,End,End,"(0, 30)","(31, 36)","(37, 54)","(55, 68)","(69, 77)"
"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",True Belief,Explicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġtakes', 'Ġout', 'Ġa', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', ',', 'Ġthen', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġthen', 'Ġcomes', 'Ġback', '.', 'ĠShe', 'Ġwatches', 'ĠRobert', 'Ġmove', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe', 'Ġcupboard', 'Ġto', 'Ġthe', 'Ġdrawer', '.', 'ĠLisa', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġthinks', 'Ġthe', 'Ġgr', 'ater', 'Ġis', 'Ġin', 'Ġthe']",cupboard,drawer,End,End,"(0, 30)","(31, 36)","(41, 65)","(37, 40)","(66, 73)"
"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",True Belief,Implicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġtakes', 'Ġout', 'Ġa', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', ',', 'Ġthen', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġthen', 'Ġcomes', 'Ġback', '.', 'ĠShe', 'Ġwatches', 'ĠRobert', 'Ġmove', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe', 'Ġcupboard', 'Ġto', 'Ġthe', 'Ġdrawer', '.', 'ĠLisa', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe']",cupboard,drawer,End,End,"(0, 30)","(31, 36)","(41, 65)","(37, 40)","(66, 74)"
"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",False Belief,Explicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġtakes', 'Ġout', 'Ġa', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', ',', 'Ġthen', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġand', 'Ġwhile', 'Ġshe', 'Ġis', 'Ġaway', ',', 'ĠRobert', 'Ġmoves', 'Ġthe', 'Ġgr', 'ater', 'Ġto', 'Ġthe', 'Ġdrawer', 'Ġfrom', 'Ġthe', 'Ġcupboard', '.', 'ĠLisa', 'Ġcomes', 'Ġback', 'Ġand', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġthinks', 'Ġthe', 'Ġgr', 'ater', 'Ġis', 'Ġin', 'Ġthe']",cupboard,drawer,End,Start,"(0, 30)","(31, 36)","(37, 54)","(55, 68)","(69, 76)"
"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",False Belief,Implicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġtakes', 'Ġout', 'Ġa', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', ',', 'Ġthen', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġand', 'Ġwhile', 'Ġshe', 'Ġis', 'Ġaway', ',', 'ĠRobert', 'Ġmoves', 'Ġthe', 'Ġgr', 'ater', 'Ġto', 'Ġthe', 'Ġdrawer', 'Ġfrom', 'Ġthe', 'Ġcupboard', '.', 'ĠLisa', 'Ġcomes', 'Ġback', 'Ġand', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe']",cupboard,drawer,End,Start,"(0, 30)","(31, 36)","(37, 54)","(55, 68)","(69, 77)"
"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",True Belief,Explicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġtakes', 'Ġout', 'Ġa', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', ',', 'Ġthen', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġthen', 'Ġcomes', 'Ġback', '.', 'ĠShe', 'Ġwatches', 'ĠRobert', 'Ġmove', 'Ġthe', 'Ġgr', 'ater', 'Ġto', 'Ġthe', 'Ġdrawer', 'Ġfrom', 'Ġthe', 'Ġcupboard', '.', 'ĠLisa', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġthinks', 'Ġthe', 'Ġgr', 'ater', 'Ġis', 'Ġin', 'Ġthe']",cupboard,drawer,End,Start,"(0, 30)","(31, 36)","(41, 65)","(37, 40)","(66, 73)"
"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",True Belief,Implicit,"['Lisa', 'Ġis', 'Ġcooking', 'Ġdinner', 'Ġin', 'Ġthe', 'Ġkitchen', '.', 'ĠShe', 'Ġtakes', 'Ġout', 'Ġa', 'Ġspat', 'ula', 'Ġfrom', 'Ġthe', 'Ġdrawer', ',', 'Ġthen', 'Ġuses', 'Ġthe', 'Ġgr', 'ater', 'Ġand', 'Ġputs', 'Ġit', 'Ġaway', 'Ġin', 'Ġthe', 'Ġcupboard', '.', 'ĠShe', 'Ġbriefly', 'Ġleaves', 'Ġthe', 'Ġkitchen', ',', 'Ġthen', 'Ġcomes', 'Ġback', '.', 'ĠShe', 'Ġwatches', 'ĠRobert', 'Ġmove', 'Ġthe', 'Ġgr', 'ater', 'Ġto', 'Ġthe', 'Ġdrawer', 'Ġfrom', 'Ġthe', 'Ġcupboard', '.', 'ĠLisa', 'Ġrealizes', 'Ġshe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġgr', 'ater', 'Ġagain', '.', 'ĠLisa', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġgr', 'ater', 'Ġfrom', 'Ġthe']",cupboard,drawer,End,Start,"(0, 30)","(31, 36)","(41, 65)","(37, 40)","(66, 74)"
"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, she puts the shovel away in the van. Then, John returns from the office. He needs to use the shovel again. John thinks the shovel is in the [MASK].",False Belief,Explicit,"['John', 'Ġand', 'ĠKaren', 'Ġare', 'Ġworking', 'Ġon', 'Ġa', 'Ġbuilding', 'Ġsite', '.', 'ĠJohn', 'Ġis', 'Ġusing', 'Ġa', 'Ġshovel', 'Ġto', 'Ġspread', 'Ġcement', '.', 'ĠWhen', 'Ġhe', 'Ġis', 'Ġdone', ',', 'Ġhe', 'Ġleaves', 'Ġthe', 'Ġshovel', 'Ġin', 'Ġthe', 'Ġtoolbox', ',', 'Ġthen', 'Ġgrabs', 'Ġhis', 'Ġphone', 'Ġfrom', 'Ġthe', 'Ġvan', '.', 'ĠJohn', 'Ġgoes', 'Ġto', 'Ġthe', 'Ġoffice', 'Ġto', 'Ġtalk', 'Ġto', 'Ġthe', 'Ġboss', '.', 'ĠWhile', 'ĠJohn', 'Ġis', 'Ġaway', ',', 'ĠKaren', 'Ġtakes', 'Ġthe', 'Ġshovel', 'Ġout', 'Ġof', 'Ġthe', 'Ġtoolbox', 'Ġto', 'Ġtidy', 'Ġup', 'Ġsome', 'Ġedges', '.', 'ĠWhen', 'ĠKaren', 'Ġis', 'Ġfinished', ',', 'Ġshe', 'Ġputs', 'Ġthe', 'Ġshovel', 'Ġaway', 'Ġin', 'Ġthe', 'Ġvan', '.', 'ĠThen', ',', 'ĠJohn', 'Ġreturns', 'Ġfrom', 'Ġthe', 'Ġoffice', '.', 'ĠHe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġshovel', 'Ġagain', '.', 'ĠJohn', 'Ġthinks', 'Ġthe', 'Ġshovel', 'Ġis', 'Ġin', 'Ġthe']",toolbox,van,Start,End,"(0, 39)","(40, 50)","(51, 83)","(84, 99)","(100, 106)"
"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, she puts the shovel away in the van. Then, John returns from the office. He needs to use the shovel again. John goes to get the shovel from the [MASK].",False Belief,Implicit,"['John', 'Ġand', 'ĠKaren', 'Ġare', 'Ġworking', 'Ġon', 'Ġa', 'Ġbuilding', 'Ġsite', '.', 'ĠJohn', 'Ġis', 'Ġusing', 'Ġa', 'Ġshovel', 'Ġto', 'Ġspread', 'Ġcement', '.', 'ĠWhen', 'Ġhe', 'Ġis', 'Ġdone', ',', 'Ġhe', 'Ġleaves', 'Ġthe', 'Ġshovel', 'Ġin', 'Ġthe', 'Ġtoolbox', ',', 'Ġthen', 'Ġgrabs', 'Ġhis', 'Ġphone', 'Ġfrom', 'Ġthe', 'Ġvan', '.', 'ĠJohn', 'Ġgoes', 'Ġto', 'Ġthe', 'Ġoffice', 'Ġto', 'Ġtalk', 'Ġto', 'Ġthe', 'Ġboss', '.', 'ĠWhile', 'ĠJohn', 'Ġis', 'Ġaway', ',', 'ĠKaren', 'Ġtakes', 'Ġthe', 'Ġshovel', 'Ġout', 'Ġof', 'Ġthe', 'Ġtoolbox', 'Ġto', 'Ġtidy', 'Ġup', 'Ġsome', 'Ġedges', '.', 'ĠWhen', 'ĠKaren', 'Ġis', 'Ġfinished', ',', 'Ġshe', 'Ġputs', 'Ġthe', 'Ġshovel', 'Ġaway', 'Ġin', 'Ġthe', 'Ġvan', '.', 'ĠThen', ',', 'ĠJohn', 'Ġreturns', 'Ġfrom', 'Ġthe', 'Ġoffice', '.', 'ĠHe', 'Ġneeds', 'Ġto', 'Ġuse', 'Ġthe', 'Ġshovel', 'Ġagain', '.', 'ĠJohn', 'Ġgoes', 'Ġto', 'Ġget', 'Ġthe', 'Ġshovel', 'Ġfrom', 'Ġthe']",toolbox,van,Start,End,"(0, 39)","(40, 50)","(51, 83)","(84, 99)","(100, 107)"
