layer,start_prob,end_prob,log_odds,passage,start,end,knowledge_cue,first_mention,recent_mention,condition,model_path,model_shorthand,n_layers,revision,stage,ingredient,step,tokens_seen
10,2.7029236730590016e-06,1.1646930247224528e-05,-2.1073570796090633,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
11,1.9378311882031667e-06,1.5286739290463306e-05,-2.9797659054041947,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
12,1.5718288253973427e-06,4.068988762351034e-06,-1.3722261815938326,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
13,1.9088962417962473e-06,1.5106093254136552e-05,-2.984320005999042,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
14,6.629610521079678e-06,8.362091147873771e-06,-0.3349396522083369,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
15,1.0288795106153569e-05,9.501542572522202e-06,0.11484038321773528,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
16,7.979053032557216e-05,1.256251849276146e-05,2.6670918151071605,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
17,3.7671116505520304e-05,0.0005644541211468356,-3.9053256254831754,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
18,0.0008279623834428484,0.014769227524660793,-4.156885336830809,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
19,0.0003450539197397049,0.0788265312607871,-7.835715658537795,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
20,0.001352619205751894,0.09886607104636064,-6.191647851580077,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
21,0.0006357425833194632,0.5026665841832013,-9.62694334441134,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
22,0.0009304309519342909,0.38588710502272605,-8.69606402895852,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
23,0.003259827841120547,0.24075017658089026,-6.206597271523676,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
24,0.006567832915811441,0.5961328911296666,-6.504072739016012,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
25,0.02189415990138902,0.4485239147560751,-4.356566911502304,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
26,0.00596970937576582,0.6707773737746876,-6.8120295171825305,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
27,0.012033961666278691,0.7181640740156736,-5.899129912985851,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
28,0.9683709160746898,0.027098172104976778,5.159292306645422,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
29,0.999872684478652,2.6553238685895143e-05,15.200568948682506,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
30,0.9999282360144354,1.4453221330123874e-05,16.078145861124273,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
31,0.9993594288957139,0.0005728538186311802,10.768620896988388,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
32,0.985855042786447,0.013970234222865953,6.140947418506686,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
33,0.9849199064640743,0.014899074465235043,6.046711791644003,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
34,0.982539297759781,0.017093647004761996,5.844982970430614,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
35,0.9059144895073994,0.09327242486867703,3.2798523490084355,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
36,0.9936252827726602,0.006281107086769884,7.305539207046862,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
37,0.9605764177429913,0.03872611086410447,4.632521862050248,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
38,0.9363462338291976,0.06155352027903888,3.9271288227865493,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
39,0.6365157187094245,0.34351484316747277,0.8898237030301741,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
40,0.6972787960128407,0.29073066221564386,1.2620523756246087,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
0,7.610050006895668e-07,5.887215218055316e-06,-2.951607529943729,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
1,6.956978123110755e-07,1.5814043877372335e-05,-4.506601738401279,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
2,6.207286854746815e-07,1.2405768695736347e-05,-4.320904503028066,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
3,7.770156927275423e-07,3.252589036210653e-05,-5.387501003704205,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
4,2.309788828043885e-06,5.7082889808076284e-06,-1.305297413184062,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
5,7.477373817755058e-06,5.2428910133093944e-05,-2.8097589912344985,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
6,5.0977184644148546e-05,0.00039141274235552433,-2.940767119494544,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
7,0.0009184188760956802,0.0017651072608430107,-0.9425316559967261,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
8,0.0004924371580011295,0.0007436603944404341,-0.5947043118633336,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
9,0.00010559676354729173,0.000830615755687513,-2.9756156200735733,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
10,0.00025834239339072803,0.0001779168282159766,0.5380814318238658,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
11,0.00016606746825133592,0.0001948724712554923,-0.23076081748288912,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
12,6.817013774193338e-05,0.00012703627724648718,-0.8980287373288623,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
13,4.170894273107197e-05,0.00015745354726887247,-1.9164976129875526,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
14,4.1880573567256074e-05,0.00011751658071984536,-1.4885112190788155,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
15,5.01733135560979e-05,0.00013179583284589656,-1.39331263045082,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,False Belief,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
