layer,correct_prob,distractor_prob,log_odds,is_correct,item,item_id,condition,knowledge_cue,first_mention,recent_mention,question_id,question,correct_answer,distractor_answer,model_path,model_shorthand,n_layers,revision,stage,ingredient,step,tokens_seen
10,1.1758434434529732e-05,1.573776549513329e-05,-0.42053472961215344,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
11,8.35292525673256e-06,8.439893283641196e-06,-0.01494322856816751,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
12,3.4672516030864754e-06,2.388595204767092e-06,0.5376301493480021,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
13,1.0585896831788142e-05,3.786863138801575e-06,1.4830683121443096,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
14,2.7937321755285088e-05,5.119063805061157e-06,2.448241828092426,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
15,3.7235643573552894e-05,2.438985800005944e-06,3.932331029252257,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
16,7.635239359833741e-05,1.3102284236248717e-06,5.864783128795051,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
17,0.00016882846001990432,2.92675372177601e-05,2.528184867658287,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
18,0.0017006224300200256,0.00042139406585424427,2.0128209681521914,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
19,0.0006000016529182433,0.000784247854864687,-0.3863432027594202,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
20,0.002071591525616066,0.0021174985475771154,-0.031621418118239264,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
21,0.0009085347980006927,0.017112077936541365,-4.23532937561175,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
22,0.0008294082294125375,0.004937583534593797,-2.5736508891709824,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
23,0.0022964885180875518,0.004416972308966232,-0.9436282173786272,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
24,0.04492203561330236,0.13574612504080869,-1.5954158068377882,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
25,0.108273773716806,0.12234627502834171,-0.17628634471799962,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
26,0.048840049484371297,0.22429964184283593,-2.1992907495930796,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
27,0.13799304990725358,0.3087372411364059,-1.1617839104318286,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
28,0.9983896016454451,0.0008145723322256513,10.259344380513195,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
29,0.9997803568820095,1.271446245039607e-06,19.584781188283383,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
30,0.9999140501072271,7.820061167223264e-07,20.286192767299866,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
31,0.9999340772676418,3.141071525562593e-05,14.958288569827717,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
32,0.9965740442516574,0.0033140453799773953,8.232239831479859,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
33,0.9975968004239556,0.002316317404717458,8.750480068602359,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
34,0.9968233108571396,0.0029940932903125598,8.379074822403869,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
35,0.9550299652502267,0.044292537588806455,4.430410441244954,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
36,0.9980728626743117,0.001854973174714038,9.071603006989534,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
37,0.9904298187403638,0.009194788844866863,6.751094495983763,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
38,0.9808191654960134,0.018183455142765082,5.753288904525997,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
39,0.8582621835743283,0.13106807290632144,2.7111021324672904,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
40,0.8473192968099292,0.14081724848381372,2.589081667056515,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,1,"At the start of the story, the wine was in the",garage,fridge,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
0,5.887215218055316e-06,7.610050006895668e-07,2.951607529943729,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
1,1.6141719026841932e-05,1.7738618854523046e-06,3.1858286383619774,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
2,1.9052161431987545e-05,1.934939286502122e-06,3.2995944739771224,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
3,2.7913140286147535e-05,1.4789140727307744e-07,7.560262397505792,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
4,6.234250820399039e-05,2.636042102370408e-07,7.885698976358053,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
5,0.0002047538698968787,1.406191478057234e-06,7.185953852723147,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
6,0.00023850671556784191,1.2467377228793486e-06,7.579728081861047,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
7,0.0004264633970436604,4.267685092563084e-06,6.642824386131156,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
8,0.00011543675892574957,8.248394194505759e-06,3.8068456078767174,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
9,6.563790603529901e-05,2.0240951391719867e-06,5.019180206894,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
10,2.2358853339920334e-05,4.128126200965581e-06,2.4372872211630687,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
11,1.7903790224102948e-05,5.672028840221827e-06,1.65832826440196,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
12,9.186667227139585e-06,1.1368186663564563e-06,3.0145394215474477,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
13,2.6357230217032295e-05,1.8381571170748585e-06,3.841866779037213,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
14,2.101830557221662e-05,8.371817974027645e-06,1.3280335196281257,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
15,2.6507342217849746e-05,2.1482745110539754e-05,0.30321366863837307,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
16,1.9246910205455618e-05,0.0001073660034134718,-2.479838480708941,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
17,0.0010687508688747148,0.0004058120727989539,1.3970419022521292,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
18,0.010520550304512537,0.005392218692626163,0.9642592561761297,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
19,0.008919836577167314,0.002608785063657465,1.773639192152456,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
20,0.014626730951626489,0.0033103591048595925,2.143547732795426,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
21,0.12306927184306023,0.0014715078057267771,6.386031586683068,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
22,0.056122324451381406,0.002918761162581043,4.265146695722438,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
23,0.055994297887428816,0.0024533154081266984,4.512475289893545,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
24,0.7597007078155993,0.002816922317413168,8.075167576286374,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
25,0.5117658823457653,0.00429142228558062,6.897884288389149,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
26,0.6457363328479768,0.0011500075465115187,9.133158065113337,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
27,0.8007113785027252,0.0011262720159348602,9.47358318996227,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
28,0.7690137672130456,0.11362116125401327,2.758777873069597,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
29,0.02202699723028754,0.9734483951196138,-5.465759758051131,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
30,0.027493535918857785,0.9713884000146101,-5.14288389069383,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
31,0.2414464882024131,0.7526493160154825,-1.640274342631974,False,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
32,0.9525337191570462,0.041138801482764956,4.533198495268537,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
33,0.9032164119047633,0.08837566176814778,3.353350682698514,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
34,0.8976120916209401,0.08323065613132671,3.430905194962446,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
35,0.9884665015412584,0.004302673294537255,7.843814965158251,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
36,0.8676076517093319,0.12321592244350171,2.815854077878907,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
37,0.8660259785340644,0.11796573834894515,2.8760423947469063,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
38,0.8556582389748719,0.11380967002778981,2.910411536682318,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
39,0.8466448802009687,0.09112945549930758,3.2157676147003205,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
40,0.709013013112938,0.22042845221329482,1.6855016522252715,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
0,1.106971020485773e-11,2.0601911907540638e-16,15.713479699350339,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
1,9.087087960621906e-10,1.5731413064051345e-15,19.139810252540077,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
2,2.1147505075262047e-09,2.2217465476036966e-14,16.5384336962582,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
3,5.274233722136797e-09,9.753605719544495e-14,15.722666324628827,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
4,5.0123450953463864e-08,3.277309394273579e-12,13.900686248971853,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
5,3.4390684185689605e-08,8.649663507298719e-11,8.635158092981966,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
6,6.643939675992474e-08,2.537575872604323e-10,8.03244420510265,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
7,7.037528231392197e-07,3.909830835294561e-09,7.491818805907221,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
8,9.566009680670969e-07,5.427103061351026e-09,7.461591135191574,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
9,2.8371301143161885e-08,9.196764371067784e-10,4.947162127879897,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
10,6.926680401307727e-08,8.282892126341839e-09,3.0639576043769705,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
11,1.806009130142416e-08,9.244310123044894e-10,4.28809571668827,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
12,5.804659832254958e-08,6.415996579531538e-11,9.821322435982758,True,7,7_fb_1_s_e_ex,False Belief,Explicit,Start,End,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
