sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,model_path,model_shorthand,stage,ingredient,step,tokens_seen
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.41299957036972046,28,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.39553505182266235,29,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.37064021825790405,30,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.3436434268951416,31,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.320708692073822,32,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.298179030418396,33,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.27180200815200806,34,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.24404948949813843,35,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.21812808513641357,36,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.19428539276123047,37,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.17269116640090942,38,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.15427029132843018,39,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.18578535318374634,40,2.181818182,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0008580684661865234,1,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.07870131731033325,2,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.23288673162460327,3,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.24965494871139526,4,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.32274848222732544,5,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.39785802364349365,6,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.44665658473968506,7,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.48001086711883545,8,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.5071351826190948,9,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.49943119287490845,10,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.5036194622516632,11,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.5202789604663849,12,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.5132006108760834,13,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.50455641746521,14,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.5006842017173767,15,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.4951466917991638,16,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.49926280975341797,17,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.5088290572166443,18,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.49166202545166016,19,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.48089176416397095,20,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.4821891784667969,21,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.4778408408164978,22,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.4830322265625,23,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.4780460000038147,24,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.4729471206665039,25,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.4612191319465637,26,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.44864434003829956,27,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.43346107006073,28,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.4177296757698059,29,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.39320147037506104,30,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.36475008726119995,31,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.3409256935119629,32,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.31884509325027466,33,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.29064810276031494,34,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.261106014251709,35,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.23383218050003052,36,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.20820194482803345,37,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.18544292449951172,38,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.16581326723098755,39,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.20321446657180786,40,2.0,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0011296272277832031,1,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.11561107635498047,2,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.3057950735092163,3,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.37926191091537476,4,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.459122896194458,5,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5147733688354492,6,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5531481206417084,7,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5860822796821594,8,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5726534128189087,9,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.591270238161087,10,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5653918385505676,11,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5668383836746216,12,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5798710286617279,13,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5532166957855225,14,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.539291113615036,15,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5269197225570679,16,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5246691107749939,17,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.532492607831955,18,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.5048100650310516,19,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.48512423038482666,20,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.47001326084136963,21,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.4627143144607544,22,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.45674264430999756,23,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.44863706827163696,24,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.4405097961425781,25,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.4224996566772461,26,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.4062163233757019,27,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.39085179567337036,28,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.3726845383644104,29,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.34829890727996826,30,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.3243975043296814,31,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.301608681678772,32,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.27994364500045776,33,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.2539605498313904,34,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.22666525840759277,35,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.20272010564804077,36,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.17993617057800293,37,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.1599077582359314,38,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.14301764965057373,39,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a magic act.,act,act,Different Sense,0.1779099702835083,40,2.818181818,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0008667111396789551,1,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.1168053150177002,2,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.22628682851791382,3,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.24385201930999756,4,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.29901260137557983,5,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.3925647735595703,6,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4381096363067627,7,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4928969740867615,8,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.5033053457736969,9,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.5080722570419312,10,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.5032808482646942,11,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.5132029950618744,12,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.5193217396736145,13,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4992295503616333,14,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4818398356437683,15,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4733244776725769,16,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4809703230857849,17,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4962279796600342,18,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4747971296310425,19,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4635810852050781,20,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.45692938566207886,21,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4521545171737671,22,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4521358609199524,23,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4460400938987732,24,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.4392967224121094,25,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.42509663105010986,26,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.41136741638183594,27,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.3973945379257202,28,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.38203853368759155,29,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.3573076128959656,30,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.33339184522628784,31,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.30986636877059937,32,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.2887023687362671,33,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.26193922758102417,34,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.2338603138923645,35,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.20924830436706543,36,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.18531835079193115,37,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.16492438316345215,38,2.80952381,6,6,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,10000,84B
